Date,Open,High,Low,Close,Volume
10/11/2019,"6,080","6,155","6,080","6,125","40,863,499"
10/10/2019,"6,020","6,110","6,020","6,110","65,806,499"
10/09/2019,"6,100","6,100","6,050","6,070","41,496,499"
10/08/2019,"6,080","6,100","6,015","6,100","46,997,499"
10/07/2019,"6,070","6,080","6,050","6,070","56,705,499"
10/04/2019,"5,980","6,065","5,980","6,045","56,890,499"
10/03/2019,"6,010","6,045","5,950","6,040","50,268,999"
10/02/2019,"6,010","6,070","6,010","6,050","52,376,499"
10/01/2019,"6,010","6,065","6,010","6,040","40,056,999"
09/30/2019,"6,070","6,070","6,005","6,070","73,390,999"
09/27/2019,"6,005","6,075","6,000","6,070","48,009,999"
09/26/2019,"6,000","6,060","5,970","6,060","109,859,003"
09/25/2019,"5,900","5,935","5,780","5,935","88,619,999"
09/24/2019,"5,980","6,000","5,940","5,945","79,718,499"
09/23/2019,"6,030","6,030","6,000","6,025","47,231,499"
09/20/2019,"6,050","6,050","5,990","5,990","133,432,998"
09/19/2019,"6,015","6,045","6,000","6,030","61,988,499"
09/18/2019,"5,990","6,040","5,990","6,040","28,667,000"
09/17/2019,"5,990","6,035","5,985","6,030","92,037,499"
09/16/2019,"6,000","6,015","5,985","6,005","77,288,999"
09/13/2019,"6,080","6,090","6,010","6,030","28,419,500"
09/12/2019,"6,100","6,105","6,010","6,020","40,033,999"
09/11/2019,"6,050","6,100","6,010","6,100","45,243,499"
09/10/2019,"6,020","6,055","5,985","6,055","40,290,999"
09/09/2019,"6,050","6,055","5,980","6,035","25,912,000"
09/06/2019,"6,060","6,060","6,025","6,025","54,348,999"
09/05/2019,"6,085","6,085","6,015","6,040","53,650,499"
09/04/2019,"6,060","6,060","6,005","6,020","41,978,999"
09/03/2019,"6,000","6,055","6,000","6,055","42,743,499"
09/02/2019,"6,100","6,100","6,000","6,000","42,428,999"
08/30/2019,"6,080","6,100","6,005","6,100","73,649,999"
08/29/2019,"5,990","6,025","5,985","6,005","51,525,499"
08/28/2019,"6,000","6,020","5,985","5,995","55,687,999"
08/27/2019,"6,040","6,040","5,950","6,005","123,779,998"
08/26/2019,"5,940","6,000","5,860","5,990","41,388,499"
08/23/2019,"5,920","5,995","5,905","5,995","33,083,500"
08/22/2019,"5,925","6,000","5,920","6,000","65,887,999"
08/21/2019,"6,000","6,005","5,975","5,975","55,927,499"
08/20/2019,"6,035","6,035","5,985","5,985","58,393,499"
08/19/2019,"6,030","6,030","5,965","6,015","30,619,000"
08/16/2019,"6,040","6,040","5,960","5,960","49,821,499"
08/15/2019,"5,920","6,000","5,860","6,000","52,561,499"
08/14/2019,"6,040","6,060","5,980","6,010","81,941,999"
